Site,Date,Temp,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Q
초강A,2019.10.08,17.9,7.6,144,11.5,0.4,4,4.2,2.929,0.041,2.3,17.895
초강A1,2019.10.08,16.5,8,155,8.2,0.4,3.5,1.3,3.261,0.037,2.2,1.193
금본F,2019.10.10,17.5,8,145,4,0.9,5.2,2.1,1.656,0.03,3,167.275
금본A,2019.10.14,15.8,8.2,159,11.7,0.6,3.3,0.7,3.506,0.042,1.6,7.207
금본B,2019.10.14,19.2,7.8,107,10.8,0.7,4.6,1.5,1.583,0.017,2.5,14.193
금본B1,2019.10.14,14,7.7,130,10.7,0.4,2.8,0.4,2.055,0.017,1.5,2.151
금본B2,2019.10.14,17,8.5,103,11.9,0.8,2.7,1.1,2.203,0.011,1.5,1.237
금본C,2019.10.14,18.1,7.8,122,9.9,1,4,1.6,1.758,0.024,2.4,8.995
금본C1,2019.10.14,17.8,7.6,139,11.7,0.9,2.9,1.7,2.172,0.028,1.5,5.538
금본D,2019.10.14,17.7,7.8,143,9.6,0.7,3.8,1.1,1.914,0.019,1.9,19.055
금본E,2019.10.14,17.7,8,162,9.7,0.4,3.7,2,2.155,0.02,1.9,24.099
금본F1,2019.10.14,16.7,7.9,123,10.4,0.5,2.6,1.2,4.045,0.018,1.5,0.131
금본F2,2019.10.14,16.4,7.5,365,11.4,0.5,3.1,1.5,2.861,0.037,1.9,0.364
보청A,2019.10.14,17,7.5,281,15.5,0.5,3.1,2.2,2.893,0.022,1.6,5.311
초강A,2019.10.14,17.8,8,168,13.7,0.6,3.6,1.6,2.768,0.026,1.9,5.052
초강A1,2019.10.14,15.4,7.9,177,10.1,0.5,3.2,0.3,2.438,0.022,1.8,0.288
금본F,2019.10.15,17.4,8.1,140,4.6,0.7,5,2.1,1.434,0.039,3,12.24
금본F,2019.10.28,17.9,8,133,4.8,0.4,4.8,2.3,1.977,0.044,3,12.051
금본A,2019.10.31,11.8,8.2,195,11.6,0.5,3.2,1.1,3.733,0.028,1.5,3.314
금본B,2019.10.31,15.9,8,110,10.9,0.4,4.5,1.5,1.352,0.016,2.5,13.573
금본B1,2019.10.31,10.1,7.8,181,12.3,0.5,3.1,0.6,2.115,0.011,1.4,0.732
금본B2,2019.10.31,13.5,8.4,114,12.5,0.5,3.2,0.4,2.019,0.007,1.4,0.32
금본C,2019.10.31,14.5,8.3,127,10.9,0.5,3.8,0.7,1.439,0.017,2.1,7.132
금본C1,2019.10.31,13.6,7.7,161,14.1,0.6,3.3,0.5,2.071,0.016,1.8,2.748
금본D,2019.10.31,14.3,8.4,152,10.4,0.4,3.8,0.9,1.663,0.028,1.9,16.105
금본E,2019.10.31,14,8.4,175,10.8,0.5,3.5,0.8,1.767,0.018,1.9,15.95
금본F1,2019.10.31,14,7.9,128,9.8,0.6,2.8,0.6,2.518,0.014,1.2,0.089
금본F2,2019.10.31,15.4,7.4,393,13,0.6,3.6,0.8,2.694,0.023,1.8,0.215
보청A,2019.10.31,13.3,7.7,221,13,0.4,3.2,2.1,1.789,0.02,1.5,5.31
초강A,2019.10.31,14.4,8.2,204,11.4,0.5,3.1,0.9,2.24,0.025,1.6,1.771
초강A1,2019.10.31,10.4,7.7,185,11.6,0.6,3.1,0.4,1.843,0.012,1.6,0.123
금본A,2019.11.05,11.9,8.2,198,12.6,0.6,3.2,1.3,3.398,0.023,1.6,3.566
금본B,2019.11.05,16.1,7.8,109,10.6,0.6,4.6,1.7,1.392,0.017,2.4,11.922
금본B1,2019.11.05,11.2,7.7,279,12.3,0.6,3,0.6,3.088,0.011,1.3,0.72
금본B2,2019.11.05,13.8,8.2,111,15.5,0.6,2.8,0.4,1.989,0.007,1.4,0.204
금본C,2019.11.05,14.5,7.8,128,10.9,0.4,4,0.9,1.321,0.016,2,7.578
금본C1,2019.11.05,13.9,7.8,176,14.2,0.8,3.3,0.6,2.16,0.016,1.5,1.979
금본D,2019.11.05,14.5,7.9,148,10.6,0.6,4.3,1,1.467,0.018,2.1,15.074
금본E,2019.11.05,14.5,8,172,10.8,0.6,3.7,0.8,1.529,0.017,2,15.95
금본F1,2019.11.05,13.5,7.8,128,10.6,0.4,2.4,0.5,2.201,0.012,1.1,0.041
금본F2,2019.11.05,15,7.8,390,13.5,0.9,3.3,0.9,3.059,0.017,1.7,0.221
보청A,2019.11.05,14.4,7.7,303,12.1,0.7,3.1,2.9,1.974,0.026,2,3.189
초강A,2019.11.05,14.4,8.2,208,11.5,0.6,4.1,1.2,2.048,0.021,1.6,1.355
초강A1,2019.11.05,11.3,8.1,184,11.5,0.5,3.1,0.6,2.063,0.013,1.5,0.108
금본F,2019.11.06,17.4,7.8,139,5.7,0.6,5.2,3.7,1.787,0.039,3,12.321
금본A,2019.11.11,9.4,8.1,212,12.5,1.1,3.8,2.3,4.108,0.017,1.9,6.884
금본B,2019.11.11,15,7.8,110,10,1,4.5,1.9,1.472,0.013,2.5,16.439
금본B1,2019.11.11,9.3,7.7,225,11.8,4.7,7,2.4,4.135,0.061,4.8,1.13
금본B2,2019.11.11,10.1,7.6,111,12.9,0.7,3.9,0.5,2.016,0.012,1.4,0.44
금본C,2019.11.11,12.2,7.8,125,10.9,1.1,4.2,0.6,1.453,0.011,2.1,2.8
금본C1,2019.11.11,11.3,7.8,190,13.5,1.2,4.2,0.7,2.5,0.054,1.8,2.89
금본D,2019.11.11,11.5,7.8,169,10.1,1.8,4.8,2.8,2.109,0.034,2.8,16.588
금본E,2019.11.11,11.6,7.9,171,10.6,0.5,3.9,1.2,1.679,0.009,2.1,18.234
금본F1,2019.11.11,11.1,7.8,147,11.2,1.5,4.6,0.8,3.19,0.026,1.8,0.082
금본F2,2019.11.11,11.6,7.7,338,11.4,2,5.7,0.4,4.703,0.076,2.8,0.716
보청A,2019.11.11,10.6,7.9,347,11.4,0.7,3.4,1.2,2.316,0.021,1.5,3.949
초강A,2019.11.11,10.5,7.9,205,11.9,0.8,3.7,0.3,1.988,0.011,1.9,1.487
초강A1,2019.11.11,9.9,8.1,215,10.2,1.8,5.7,0.6,2.994,0.049,3,0.158
금본F,2019.11.12,16.6,7.6,142,7.1,0.9,5.2,3.5,1.364,0.023,3,12.354
금본F,2019.11.18,16,7.4,145,7.5,0.7,5.2,2.3,1.248,0.028,2.6,15.404
금본A,2019.11.21,5,7.9,187,14.1,0.6,3.7,0.5,3.467,0.028,1.7,4.376
금본B,2019.11.21,12,7.6,109,11,0.5,4.3,1.3,1.323,0.015,2.3,13.954
금본B1,2019.11.21,4.3,7.7,261,13.5,0.6,3.3,0.5,4.049,0.013,1.4,0.802
금본B2,2019.11.21,6.1,7.6,112,14.1,0.4,3,0.3,2.959,0.007,1.2,0.954
금본C,2019.11.21,8.2,7.6,133,9.7,0.6,3.9,0.7,1.557,0.015,2.1,7.132
금본C1,2019.11.21,6.4,7.6,174,14.1,0.7,3.6,0.6,3.633,0.019,1.8,3.517
금본D,2019.11.21,7.5,7.7,169,9.1,0.6,3.7,1.2,2.007,0.017,1.8,18.554
금본E,2019.11.21,7.4,7.8,186,9.6,0.6,3.8,1.2,2.036,0.017,2,19.834
금본F1,2019.11.21,6.9,7.4,122,12.5,0.4,2.9,0.3,3.963,0.013,1.2,0.123
금본F2,2019.11.21,6.6,7.5,327,12.4,0.4,3.4,0.5,4.99,0.042,1.4,1.249
보청A,2019.11.21,6.7,7.2,254,12.5,0.6,3.9,1.6,2.901,0.034,2.2,5.462
초강A,2019.11.21,6.4,7.4,218,12.9,0.7,3.6,1.4,2.777,0.016,1.9,2.601
초강A1,2019.11.21,4.1,8,190,12.3,0.4,3.3,0.3,2.486,0.016,1.6,0.205
금본A,2019.11.26,8.1,8.2,200,14.2,0.6,3.4,1.1,3.304,0.019,1.8,3.576
금본B,2019.11.26,12.2,7.9,114,11.1,0.5,4.5,1.4,1.422,0.015,2.5,10.347
금본B1,2019.11.26,6.2,7.9,320,13.9,0.4,4.8,0.3,3.424,0.014,1.2,0.667
금본B2,2019.11.26,8.1,7.7,117,13.6,0.4,2.8,0.2,2.761,0.01,1,0.685
금본C,2019.11.26,9.8,7.5,127,12.3,0.5,4.1,0.4,1.458,0.007,2.2,5.477
금본C1,2019.11.26,8.7,8.2,166,14.2,0.7,3.8,1.1,2.744,0.023,1.4,2.908
금본D,2019.11.26,9.2,7.7,159,12.4,0.6,4,1,1.696,0.01,2.1,16.155
금본E,2019.11.26,9,7.7,181,12.2,0.5,3.7,0.4,2.392,0.006,2,15.95
금본F1,2019.11.26,9.2,7.4,126,12,0.4,2.9,0.3,3.159,0.013,1,0.102
금본F2,2019.11.26,8.8,7.8,354,13.1,0.4,3.1,0.4,4.927,0.03,1,1.071
보청A,2019.11.26,8.7,7.1,280,12.7,0.6,3.3,1.1,2.531,0.017,1.8,3.94
초강A,2019.11.26,9,7.4,218,12.7,0.7,4.1,1.4,2.382,0.014,2.4,1.771
초강A1,2019.11.26,8.3,8,190,12.1,0.4,3.5,0.3,2.357,0.01,1.2,0.132
금본F,2019.11.27,14.6,7.7,148,7.6,0.6,4.6,1.8,1.362,0.022,2.8,12.502
금본A,2019.12.02,6.7,8.2,192,12.9,1.3,4.4,1.2,3.787,0.027,2.1,8.409
금본B,2019.12.02,11.4,7.8,112,10.9,0.7,4.4,1.5,1.412,0.011,2.4,11.98
금본B1,2019.12.02,5.7,7.6,205,12.9,0.9,4.7,4.1,3.561,0.029,2.7,1.022
금본B2,2019.12.02,6.7,7.8,114,13.4,0.4,2.7,0.3,2.76,0.016,1.1,0.704
금본C,2019.12.02,7.9,7.6,130,12.4,0.6,4.1,0.5,1.444,0.01,2.2,2.525
금본C1,2019.12.02,7.5,8,188,14.3,0.9,3.5,1.6,3.185,0.016,1.6,3.603
금본D,2019.12.02,7.9,7.7,170,12,0.9,4.2,1.5,2.067,0.015,2.2,16.488
금본E,2019.12.02,7.1,7.8,183,12.1,0.7,3.8,0.5,1.93,0.01,2,15.219
금본F1,2019.12.02,6.9,7.5,126,12.5,0.4,3.1,0.1,3.31,0.013,1.4,0.103
금본F2,2019.12.02,8.5,7.8,335,13.5,0.4,3.3,0.8,4.887,0.032,1.5,1.052
보청A,2019.12.02,7.4,7.9,322,12.1,0.8,3.4,0.8,2.678,0.019,1.5,3.401
초강A,2019.12.02,6.6,7.9,210,12,0.7,3.7,0.9,2.238,0.015,1.7,1.771
초강A1,2019.12.02,6.4,8.3,196,12.4,0.4,3.3,0.3,2.812,0.015,1.7,0.129
금본F,2019.12.03,12.8,8.2,151,7,0.8,4.7,1.5,1.502,0.016,2.7,12.415
금본F,2019.12.09,12.4,8.1,145,7.3,0.8,4.6,2.2,1.692,0.023,2.8,12.626
금본A,2019.12.12,3.7,7.8,189,15,0.6,2.9,0.9,3.995,0.012,1.8,3.583
금본B,2019.12.12,9.3,7.6,111,11.8,0.5,4,0.8,1.459,0.014,2.6,12.946
금본B1,2019.12.12,3.2,8,254,15,0.5,3.7,0.5,3.371,0.011,1.4,0.624
금본B2,2019.12.12,4.3,8.1,109,14.1,0.4,2.2,0.5,2.521,0.007,1.1,0.452
금본C,2019.12.12,5.7,7.4,130,12.1,0.5,3.7,0.6,1.763,0.022,2.4,2.265
금본C1,2019.12.12,4.6,7.6,165,14.6,0.7,3,0.9,2.073,0.023,1.4,2.308
금본D,2019.12.12,4,7.4,160,13.2,0.6,3.3,0.6,2.078,0.011,2.2,13.357
금본E,2019.12.12,3.9,7.5,194,12.7,0.5,3.4,0.3,2.402,0.011,2.2,13.121
금본F1,2019.12.12,4.6,7.8,118,13.3,0.4,2.3,1.6,2.786,0.026,1.1,0.089
금본F2,2019.12.12,5.8,7.7,346,14.5,0.5,2.3,1.3,5.183,0.026,1.2,1.013
보청A,2019.12.12,4.2,7.5,334,13.9,0.7,2.8,0.8,2.924,0.014,1.8,2.182
초강A,2019.12.12,3.8,8.2,212,14.8,0.7,2.9,0.8,2.408,0.01,2.1,1.355
초강A1,2019.12.12,3.2,8,190,13.2,0.5,2.2,0.3,3.039,0.024,1.2,0.102
금본A,2019.12.17,5.1,8.3,193,13.9,0.6,2.4,2.5,3.493,0.015,1.4,3.371
금본B,2019.12.17,9.9,7.7,115,11.5,0.5,4,0.9,1.331,0.011,1.9,13.092
금본B1,2019.12.17,5.3,7.9,236,12.9,0.5,3.2,0.7,3.608,0.01,1.4,0.643
금본B2,2019.12.17,5.9,7.9,106,12.3,0.4,2.6,0.5,2.402,0.006,1,0.33
금본C,2019.12.17,6.4,7.5,129,12.7,0.5,3.9,0.4,1.508,0.01,1.7,2.8
금본C1,2019.12.17,5.9,7.3,177,13.1,0.9,3.1,0.8,2.426,0.01,1.4,2.109
금본D,2019.12.17,6.6,7.4,163,12.9,0.5,3.6,0.7,1.824,0.012,1.7,12.3
금본E,2019.12.17,6.1,7.4,187,12.8,0.5,3.4,0.4,1.978,0.01,1.5,13.121
금본F1,2019.12.17,5.2,8.1,119,12.4,0.5,2.5,1.2,3.053,0.019,1,0.081
금본F2,2019.12.17,7.7,7.1,344,12.1,0.7,3.6,2.2,5.452,0.024,1.6,0.97
보청A,2019.12.17,5.6,7.6,325,13.3,0.7,2.8,0.7,2.77,0.019,1.4,2.158
초강A,2019.12.17,4.8,7.7,208,13.5,0.8,3.1,0.9,2.178,0.013,1.3,1.355
초강A1,2019.12.17,5.2,8.2,191,12,0.5,3,0.4,2.539,0.014,1.3,0.102
금본F,2019.12.18,11.4,7.2,151,7.7,0.6,4.7,1.9,1.255,0.027,2.8,12.486
금본A,2020.01.13,3.2,7.9,148,13.7,0.5,2.8,1.1,4.042,0.029,1.3,7.684
금본B,2020.01.13,6.7,7.9,114,11.7,0.4,4,0.9,1.54,0.012,2,11.377
금본B1,2020.01.13,2.3,8.4,144,14.2,0.5,3.3,2,2.96,0.029,1.5,1.187
금본B2,2020.01.13,4.2,8.2,99,13.5,0.4,2.5,0.9,3.689,0.026,0.9,
금본C,2020.01.13,4.6,7.7,117,14.1,0.4,3.2,0.9,2.206,0.016,1.6,12.004
금본C1,2020.01.13,3.8,7.7,122,14.2,0.5,2.8,0.6,2.228,0.026,1.5,8.738
금본D,2020.01.13,4.1,7.7,139,14.5,0.6,3.1,2.1,2.584,0.018,1.4,23.173
금본E,2020.01.13,3.9,7.7,192,14.4,0.3,3.3,2.5,2.906,0.017,1.6,29.411
금본F1,2020.01.13,5,8.1,104,13.1,0.4,3.3,0.4,3.855,0.04,1.4,0.4
금본F2,2020.01.13,5.4,7.4,328,13.7,0.5,3.1,1.1,4.557,0.089,1.2,1.256
보청A,2020.01.13,3.9,7.4,234,15.7,0.6,3.4,5.4,3.569,0.034,1.5,7.383
초강A,2020.01.13,3.1,7.5,151,16.6,0.4,3.3,1.5,3.002,0.019,1.8,6.199
초강A1,2020.01.13,3.4,7.9,147,13.8,0.4,2.9,0.4,2.963,0.034,1.5,0.363
금본F,2020.01.14,8,7.7,156,8.1,0.8,4.5,1.8,1.344,0.016,2.3,12.577
금본F,2020.01.29,7.1,7.4,136,10.9,0.3,4.5,1.2,1.484,0.036,2.5,12.267
금본A,2020.01.31,5.7,7.9,215,14.8,0.6,4.1,2.6,3.791,0.078,2.2,6.741
금본B,2020.01.31,6.4,7.3,117,13.3,0.3,4.2,1.1,0.824,0.027,2.1,11.411
금본B1,2020.01.31,4.6,8.4,192,14.6,0.8,3.4,1.6,2.327,0.049,1.6,0.985
금본B2,2020.01.31,5.7,8.1,99,13,0.5,2.4,0.8,2.532,0.029,1.2,
금본C,2020.01.31,6.4,7.7,130,13.1,0.4,4,1.1,1.519,0.032,1.9,11.446
금본C1,2020.01.31,6.1,8,145,13.9,0.8,2.9,1.2,2.006,0.046,1.6,7.198
금본D,2020.01.31,6.1,7.6,144,12.7,0.5,4,2.5,1.784,0.037,2.1,21.257
금본E,2020.01.31,6.2,7.8,152,12.8,0.7,3.9,2.1,1.876,0.038,2.1,23.175
금본F1,2020.01.31,5.2,7.3,95,13.5,0.4,2.2,0.5,2.453,0.033,1.3,0.216
금본F2,2020.01.31,7,7.7,341,14,1.6,2.8,0.7,4.555,0.06,1.6,0.81
보청A,2020.01.31,6.9,7.6,289,12.7,0.7,3.7,1,2.767,0.052,1.8,3.212
초강A,2020.01.31,6.2,7.7,162,13.1,0.8,4.1,1.8,1.793,0.037,2.1,4.297
초강A1,2020.01.31,5,7.9,153,12.5,0.5,3,0.5,2.189,0.031,1.6,0.274
금본F,2020.02.03,7.1,7.2,161,9.8,0.6,4.3,1.2,1.419,0.013,2.7,12.607
금본A,2020.02.06,1,8,182,15.9,0.7,3.1,0.7,3.931,0.019,1.6,4.229
금본B,2020.02.06,4.8,7.5,120,13.7,0.6,4.1,1,1.41,0.011,2.1,10.083
금본B1,2020.02.06,0.3,8,201,16,1.7,3.7,3.9,2.955,0.022,1.8,0.719
금본B2,2020.02.06,1.4,8,96,15.5,0.4,2.1,0.5,2.67,0.01,1,0.7
금본C,2020.02.06,2.9,7.9,125,15.3,0.6,3.6,1.1,1.894,0.016,2,6.571
금본C1,2020.02.06,1.6,7.9,151,15.6,0.8,3,0.5,2.517,0.016,1.4,2.446
금본D,2020.02.06,2.2,7.8,144,15.2,0.7,3.4,1.6,1.958,0.011,1.7,16.056
금본E,2020.02.06,2.2,7.9,155,14.8,0.6,3.5,1.7,2.268,0.011,1.9,18.387
금본F1,2020.02.06,2.1,7.5,99,14.7,0.4,2.2,0.5,2.775,0.017,1,0.187
금본F2,2020.02.06,1.8,7.5,357,15.5,0.8,2.4,1.2,4.754,0.034,1.2,0.893
보청A,2020.02.06,1.8,7.8,307,14.8,0.9,3.4,3.6,3.016,0.017,1.9,2.837
초강A,2020.02.06,1.4,7.9,164,14.9,0.8,3.9,0.9,2.265,0.011,2,2.421
초강A1,2020.02.06,0,8.3,161,14.7,0.7,3.1,6.3,2.537,0.012,1.6,0.163
금본A,2020.02.11,3.1,8,180,16.3,0.4,2.9,1.1,3.878,0.02,1.4,4.242
금본B,2020.02.11,5.7,7.7,120,14,0.4,4.1,0.8,1.561,0.01,2.3,9.853
금본B1,2020.02.11,2.2,8.3,205,13.2,0.7,2.6,0.7,3.107,0.013,1.4,0.633
금본B2,2020.02.11,5,8,92,14.1,0.5,2,0.6,2.664,0.008,1.1,0.59
금본C,2020.02.11,4.6,7.9,127,14.3,0.4,3.6,0.6,2,0.012,1.7,3.297
금본C1,2020.02.11,3.5,7.9,152,15.9,0.9,2.6,0.4,2.632,0.015,1.5,3.348
금본D,2020.02.11,4,7.8,148,14,0.4,3.5,1.5,2.204,0.014,1.7,15.057
금본E,2020.02.11,5.1,8,165,14,0.5,3.4,1.1,2.255,0.01,1.8,14.795
금본F1,2020.02.11,4.6,7.5,102,13.3,0.4,1.9,0.8,3.027,0.015,1.1,0.115
금본F2,2020.02.11,5.6,8,342,15.9,0.7,2.3,0.8,4.973,0.032,1.2,0.743
보청A,2020.02.11,4.5,7.8,316,14.5,0.5,3,1.6,2.899,0.022,1.5,2.487
초강A,2020.02.11,6.5,8.1,180,14.5,0.6,3.2,0.7,2.356,0.011,1.6,1.923
초강A1,2020.02.11,1.3,8.3,158,14.8,0.4,2.2,0.4,2.648,0.011,1.5,0.12
금본F,2020.02.12,7.4,7.4,169,11.2,0.4,4.3,0.9,1.43,0.016,2.4,12.328
금본A,2020.02.17,2.6,7.9,248,15.3,1.3,3.8,2.7,3.652,0.038,2,5.71
금본B,2020.02.17,5.3,7.9,120,14,1.1,4.6,1.5,1.512,0.018,2.5,10.016
금본B1,2020.02.17,1,8.3,250,15.9,0.6,2.8,1,2.36,0.014,1.5,1.221
금본B2,2020.02.17,1.2,8.2,91,15.4,0.5,2.4,0.5,2.442,0.013,1.2,1.34
금본C,2020.02.17,4.1,7.9,128,13.7,1.1,3.9,0.6,1.639,0.013,2,8.848
금본C1,2020.02.17,4.1,7.8,125,14.3,0.8,2.9,0.3,2.315,0.026,1.5,7.003
금본D,2020.02.17,5,7.9,160,13,1.1,3.8,1.5,2.01,0.016,2.3,17.976
금본E,2020.02.17,5.3,7.9,179,12.9,1,4,1.1,2.15,0.017,1.8,19.149
금본F1,2020.02.17,3.8,7.6,80,13.8,0.4,2.3,0.2,2.106,0.019,1.2,0.356
금본F2,2020.02.17,3.9,7.6,401,14.5,0.7,2.4,0.8,4.362,0.042,1.4,0.887
보청A,2020.02.17,4.7,7.9,307,14,1.2,3.7,1.8,2.802,0.023,2.3,5.873
초강A,2020.02.17,5,8,181,13.8,1.4,3.9,1.3,2.42,0.02,2.3,1.625
초강A1,2020.02.17,3.3,8,160,13.8,0.5,3,0.8,2.445,0.011,2,0.183
금본F,2020.02.18,5.6,7.6,164,12.7,1,4.3,0.9,1.525,0.014,2.1,12.572
금본F,2020.02.24,6.4,7.5,164,11.5,0.5,4.3,1.4,1.443,0.009,2.3,12.36
금본A,2020.02.27,7.2,7.7,171,14.3,1.3,4.2,5.7,3.27,0.037,2,15.574
금본B,2020.02.27,7.9,7.4,158,14.3,0.7,4.1,1.2,1.765,0.007,1.7,10.285
금본B1,2020.02.27,5.6,7.6,93,13.3,0.5,3.2,3.2,2.078,0.018,1.4,4.22
금본B2,2020.02.27,7.2,7.7,77,13.2,0.4,2.3,1.5,3.062,0.009,1,7.27
금본C,2020.02.27,7.9,7.7,93,12.6,1,4,2.9,2.372,0.012,2,31.797
금본C1,2020.02.27,7.8,7.5,96,14.6,0.6,3.5,2.7,2.324,0.013,1.8,24.753
금본D,2020.02.27,7.2,7.5,103,12.1,1.1,4.5,5.9,2.779,0.023,2.1,81.182
금본E,2020.02.27,7.5,7.8,110,11.8,1.5,5.4,10.4,3.017,0.04,2.6,119.231
금본F1,2020.02.27,9.4,7.4,81,11.7,0.4,2.9,1.1,3.245,0.013,1.6,1.406
금본F2,2020.02.27,9.6,8.3,267,14.2,1.1,3.4,2.7,3.9,0.025,1.8,2.074
보청A,2020.02.27,6.8,7.6,164,12.7,1.2,4.8,6,3.31,0.06,1.7,16.937
초강A,2020.02.27,7.6,7.6,114,12.6,1.1,5.3,6.6,3.193,0.045,2.6,29.964
초강A1,2020.02.27,6.1,7.5,106,13,0.5,4.5,2,3.006,0.017,2.6,2.078
금본A,2020.03.03,7.2,8.2,157,14.6,0.7,4.2,1.6,3.418,0.033,1.5,6.958
금본B,2020.03.03,7.6,7.5,114,13.9,0.4,4.2,1.1,1.516,0.011,1.8,9.097
금본B1,2020.03.03,5.5,8.3,130,14.8,0.5,2.4,1.3,2.542,0.019,1.3,1.674
금본B2,2020.03.03,7,8.2,92,13.9,0.5,2.2,0.7,3.171,0.02,1.1,1.68
금본C,2020.03.03,8.3,7.9,114,12.4,0.5,3.5,1,2.014,0.01,1.4,12.575
금본C1,2020.03.03,7.5,7.7,119,13.2,0.5,2.5,1.1,2.42,0.018,1.5,9.548
금본D,2020.03.03,7.8,7.8,131,12,0.6,3.6,1.9,2.324,0.014,1.5,25.966
금본E,2020.03.03,7.9,8,136,12,0.7,3.5,1.5,2.65,0.02,1.7,31.319
금본F1,2020.03.03,9.7,7.6,94,12.5,0.4,2.5,0.3,3.629,0.008,1.4,0.427
금본F2,2020.03.03,9.1,8.4,309,13.8,1,3.4,2.4,4.274,0.02,1.8,0.918
보청A,2020.03.03,7.3,7.7,208,12.3,0.7,3.2,1.5,3.214,0.022,1.6,7.809
초강A,2020.03.03,8.5,7.9,138,12.7,0.7,3.6,1.1,2.804,0.019,1.6,7.396
초강A1,2020.03.03,5.7,7.5,132,13.3,0.5,2.9,0.7,3.354,0.012,1.6,0.501
금본F,2020.03.04,6.6,7.6,163,10.7,0.4,4.5,1,1.549,0.009,1.3,12.283
금본A,2020.03.16,5.9,8.1,168,14.1,1,3.5,1,3.42,0.019,1.5,5.15
금본B,2020.03.16,8.1,7.9,114,12.3,0.7,4.5,1.5,1.435,0.012,2.1,14.412
금본B1,2020.03.16,4.3,8.4,139,15.2,0.5,2.1,1.1,2.516,0.009,1.3,0.997
금본B2,2020.03.16,6.1,8.1,96,13.5,0.5,1.9,0.5,2.704,0.012,1.5,0.77
금본C,2020.03.16,7.2,8.1,121,11.2,0.9,4,0.5,1.589,0.01,2,12.575
금본C1,2020.03.16,6.9,8.2,131,14.9,0.8,2.5,0.9,2.011,0.007,1.5,5.316
금본D,2020.03.16,7,8.1,137,10.9,0.9,3.9,1.1,1.791,0.012,1.9,22.914
금본E,2020.03.16,7.2,8.4,149,10.9,1.1,3.9,1.4,1.971,0.014,1.9,24.023
금본F1,2020.03.16,9.2,8,93,12.3,0.4,1.8,0.6,2.706,0.01,1.1,0.245
금본F2,2020.03.16,7.9,8.4,326,15.7,0.7,2.3,1.3,4.523,0.01,1.4,0.67
보청A,2020.03.16,6.5,8.3,276,13.5,1.2,4.1,2.1,2.81,0.016,1.9,6.119
초강A,2020.03.16,8.4,8.4,156,12.5,1.2,4.2,1.4,2.142,0.016,2.1,3.607
초강A1,2020.03.16,4.2,7.6,141,14.5,0.5,2.6,0.7,2.708,0.007,1.5,0.281
금본F,2020.03.17,6.8,7.8,162,12,0.8,4.3,1.2,1.509,0.014,2.6,75.776
금본A,2020.04.08,11.4,8.5,190,12.4,0.9,4.1,3.3,3.122,0.028,2.3,2.972
금본B,2020.04.08,11.6,7.7,117,11.3,0.4,4.3,0.4,1.334,0.007,2.2,12.858
금본B1,2020.04.08,9.1,8.4,180,12.7,0.5,,2.4,2.65,0.012,1.5,0.732
금본B2,2020.04.08,10.7,8.3,88,12,0.5,,2.8,1.822,0.008,,0.59
금본C,2020.04.09,12.1,8.1,119,11.2,0.8,5.1,1.3,1.229,0.074,2.5,12.575
금본D,2020.04.09,12.8,8.1,130,11,0.7,4.6,1.9,1.347,0.025,2.3,17.19
금본E,2020.04.09,13.9,8.5,142,11,0.8,4.6,1.5,1.238,0.024,2.4,16.188
금본F,2020.04.09,7.7,7.6,158,11.5,0.4,4.5,2.2,1.318,0.015,2.7,25.788
보청A,2020.04.09,15.6,8.4,318,11.9,1.4,4.6,3.9,1.731,0.035,2.4,1.628
금본C1,2020.04.10,14.2,8.8,156,14.4,1.2,,1.7,1.518,0.025,1.6,3.198
금본F1,2020.04.10,12.4,8.4,101,12.2,0.4,,2.2,1.944,0.014,0.9,0.068
금본F2,2020.04.10,13.9,8.5,326,13.9,0.7,,2.5,2.511,0.026,1.8,0.392
초강A,2020.04.10,13.9,8.6,179,12.1,1.5,4.5,2.8,1.188,0.028,2.3,0.793
초강A1,2020.04.10,10.6,8.3,182,9.7,0.5,,13.7,1.956,0.029,1.9,0.166
금본F,2020.04.13,7.8,7.6,160,11.5,0.7,4.2,1.2,1.652,0.011,2.8,28.846
금본A,2020.04.17,13.2,8,201,10.7,2.1,4.9,3.6,2.99,0.027,2.2,2.558
금본B,2020.04.17,12.2,8,115,11.4,1,4.4,0.8,1.179,0.008,2.5,15.16
금본B1,2020.04.17,11,8,157,10.6,1.5,4.7,3.5,2.147,0.022,2.3,0.939
금본B2,2020.04.17,13.4,7.8,79,10.3,0.8,3.9,2.6,1.364,0.013,,0.83
금본C,2020.04.17,13.7,8.2,124,10.6,1.1,4.2,1.4,1.158,0.011,2.3,8.367
금본C1,2020.04.17,14,7.5,153,10.9,1.7,4.5,2.8,1.476,0.019,2.2,2.874
금본D,2020.04.17,14.2,8,133,10.1,1.1,4.2,1.4,1.171,0.013,2,14.546
금본E,2020.04.17,14.4,8.4,157,10.3,1.2,4.6,2.3,1.191,0.015,2.7,16.188
금본F1,2020.04.17,15.3,7.8,122,10.3,0.9,3.3,2.1,2.051,0.015,1.9,0.087
금본F2,2020.04.17,18.8,8.9,326,14.7,1.9,4.4,2.8,1.97,0.021,2.3,0.195
보청A,2020.04.17,13,7.9,347,11,1.7,4.7,2,1.654,0.025,2.3,1.564
